login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name,pushed_at
chandu078,chandu078/android_kernel_oneplus_sm8550-devicetrees,2024-08-13T04:38:01Z,0,0,,True,False,,2024-08-13 04:44:57+00:00
chandu078,chandu078/android_kernel_oneplus_sm8550,2024-08-13T04:38:56Z,0,0,,True,False,other,2024-08-13 04:43:22+00:00
harshit3011,harshit3011/My-Connections-App,2024-08-12T19:44:38Z,0,0,JavaScript,True,True,,2024-08-12 19:49:49+00:00
abhishekrawe,abhishekrawe/abhishekrawe,2020-09-04T19:16:11Z,0,0,,True,True,,2024-08-12 14:36:41+00:00
vishalsingh2972,vishalsingh2972/NodeJS-Contanerization,2024-08-12T00:00:21Z,0,0,TypeScript,True,True,,2024-08-12 00:03:04+00:00
AurumnPegasus,AurumnPegasus/mkdocs-blog,2024-08-11T16:50:24Z,0,0,,True,True,gpl-3.0,2024-08-11 17:12:03+00:00
jkka777,jkka777/github-readme-stats,2023-01-09T15:10:22Z,0,0,JavaScript,True,False,mit,2024-08-11 12:28:12+00:00
vishalsingh2972,vishalsingh2972/chat-example,2024-08-10T18:54:07Z,0,0,JavaScript,True,False,mit,2024-08-10 19:02:45+00:00
ankits-svg,ankits-svg/Displaycards,2024-08-10T07:13:05Z,0,0,CSS,True,True,,2024-08-10 07:18:44+00:00
sudhir-voleti,sudhir-voleti/basic-text-analysis-shinyapp,2019-09-25T00:27:36Z,2,2,R,True,True,,2024-08-10 00:54:17+00:00
0xVikasRushi,0xVikasRushi/aadhaar-semaphore,2024-08-09T09:24:31Z,0,0,,True,False,,2024-08-09 08:14:44+00:00
nischalare,nischalare/portfoliobasicapp,2022-08-17T09:14:51Z,0,0,HTML,True,True,,2024-08-08 13:53:22+00:00
akshar-raaj,akshar-raaj/Design-Patterns,2024-07-25T18:01:27Z,0,0,Python,True,True,,2024-08-07 10:33:36+00:00
MRamya-sri,MRamya-sri/Email_SMS-Spam-Classifier,2023-10-17T10:53:54Z,0,0,Jupyter Notebook,True,True,mit,2024-08-07 07:17:13+00:00
thecaffeinedev,thecaffeinedev/permify,2023-03-16T12:00:17Z,0,0,Go,True,True,apache-2.0,2024-08-07 06:17:20+00:00
susruth,susruth/blockchain,2024-08-12T03:57:30Z,0,0,,True,True,,2024-08-07 05:09:04+00:00
SaumyaMohandas,SaumyaMohandas/Google-Cloud-Platform-Deployment,2024-08-07T03:32:29Z,0,0,CSS,True,True,,2024-08-07 03:59:53+00:00
The-Coder-Kishor,The-Coder-Kishor/decore_form,2024-07-31T15:13:35Z,0,0,HTML,True,True,,2024-08-06 14:17:16+00:00
MRamya-sri,MRamya-sri/Express-js,2024-08-06T09:07:10Z,0,0,,True,True,,2024-08-06 09:07:10+00:00
MRamya-sri,MRamya-sri/E-Commerce-Analysis,2023-10-05T15:20:54Z,0,0,Jupyter Notebook,True,True,,2024-08-06 08:33:16+00:00
MRamya-sri,MRamya-sri/CSS,2024-01-19T16:22:36Z,0,0,HTML,True,True,,2024-08-06 07:13:21+00:00
RAJANAGORI,RAJANAGORI/agentic_security,2024-08-06T19:21:34Z,0,0,,True,False,apache-2.0,2024-08-05 17:34:12+00:00
shivajivarma,shivajivarma/sandeep-html,2024-08-05T13:20:16Z,0,0,HTML,True,True,,2024-08-05 14:04:39+00:00
crux-bphc,crux-bphc/crux-bphc.github.io,2017-01-24T18:59:10Z,7,7,HTML,True,True,gpl-3.0,2024-08-05 11:43:51+00:00
mhardik003,mhardik003/Lockness,2024-08-05T11:06:38Z,0,0,Python,True,True,,2024-08-05 11:16:49+00:00
crux-bphc,crux-bphc/bits-gpt,2024-01-20T06:52:30Z,10,10,Python,True,False,,2024-08-05 09:18:33+00:00
swaroopnadella,swaroopnadella/TestRepo1,2024-08-04T11:50:48Z,0,0,Java,True,True,,2024-08-04 12:07:51+00:00
harshit3011,harshit3011/Book-Shelf-App,2024-08-04T08:08:53Z,0,0,JavaScript,True,True,,2024-08-04 09:13:41+00:00
mhardik003,mhardik003/most-replayed-data,2024-08-04T07:28:56Z,0,0,Python,True,True,other,2024-08-04 07:33:51+00:00
OmGodse,OmGodse/Notally,2020-05-10T09:22:25Z,1690,1690,Kotlin,False,False,gpl-3.0,2024-08-03 16:50:16+00:00
crux-bphc,crux-bphc/crux-torrent,2024-01-27T15:56:44Z,0,0,Rust,True,True,,2024-08-02 15:46:17+00:00
abhishekrawe,abhishekrawe/Developer-Activity-Dashboard,2024-07-30T22:31:04Z,0,0,TypeScript,True,True,,2024-08-02 11:51:33+00:00
sonali123123,sonali123123/Computer_Vision,2024-08-02T10:56:37Z,0,0,,True,True,,2024-08-02 10:56:37+00:00
Pavankunchala,Pavankunchala/Custom-Object-Detection,2021-07-18T08:02:14Z,1,1,Python,True,True,mit,2024-08-02 10:52:14+00:00
thecaffeinedev,thecaffeinedev/eventflow-pg-rmq,2023-08-04T17:35:48Z,0,0,Go,True,False,mit,2024-08-02 07:25:34+00:00
shivajivarma,shivajivarma/shivajivarma.github.io,2013-06-28T16:35:22Z,1,1,HTML,True,True,other,2024-08-02 01:35:12+00:00
naveenjujaray,naveenjujaray/blog,2020-06-23T19:37:48Z,0,0,HTML,True,True,,2024-08-02 00:25:43+00:00
thenaveensaggam,thenaveensaggam/Bootstrap_4_Course,2019-10-23T10:05:23Z,9,9,HTML,True,True,,2024-08-01 10:32:25+00:00
hemanth22,hemanth22/AI_Spectrum,2022-01-29T16:44:25Z,0,0,Python,True,True,,2024-08-01 07:44:19+00:00
PALASH-BAJPAI,PALASH-BAJPAI/Data-Structures-And-Algorithms-Python-Notes,2021-07-21T15:50:38Z,17,17,Jupyter Notebook,True,True,,2024-07-31 17:25:54+00:00
sonali123123,sonali123123/2d_to_3d_Image_Converter,2024-07-31T11:32:27Z,0,0,,True,True,,2024-07-31 11:32:27+00:00
vishalsingh2972,vishalsingh2972/High-Level-Design,2024-06-27T10:25:43Z,1,1,Java,True,True,gpl-3.0,2024-07-31 06:59:17+00:00
manishprivet,manishprivet/digitalgarden,2024-07-31T04:14:16Z,0,0,,True,True,,2024-07-31 04:19:27+00:00
mhardik003,mhardik003/Improving-The-Change-You-Want-to-See,2024-07-30T20:26:19Z,0,0,Python,True,True,,2024-07-30 20:26:56+00:00
0xMukesh,0xMukesh/iblinked-blink,2024-07-24T20:26:07Z,0,0,TypeScript,True,True,,2024-07-30 12:53:15+00:00
manoharreddyporeddy,manoharreddyporeddy/projects7,2024-07-30T02:30:56Z,0,0,HTML,True,True,,2024-07-30 02:31:00+00:00
manoharreddyporeddy,manoharreddyporeddy/projects3,2024-07-29T22:43:50Z,0,0,HTML,True,True,,2024-07-29 22:43:57+00:00
manoharreddyporeddy,manoharreddyporeddy/projects2,2024-07-29T22:42:47Z,0,0,HTML,True,True,,2024-07-29 22:42:54+00:00
hemanth22,hemanth22/ansible-circleci,2024-07-29T14:50:44Z,0,0,Python,True,True,,2024-07-29 18:54:15+00:00
crux-bphc,crux-bphc/chronoscript,2023-04-15T12:55:10Z,10,10,Python,True,True,gpl-3.0,2024-07-29 12:18:41+00:00
shravankoninti,shravankoninti/ICPR_2024_Leaf_Inspect,2024-07-28T16:30:56Z,0,0,Jupyter Notebook,True,True,other,2024-07-28 17:40:13+00:00
Rishav-hub,Rishav-hub/computer-vision-course,2024-07-28T14:56:24Z,0,0,,True,False,mit,2024-07-28 14:57:39+00:00
apnerve,apnerve/awesome-app,2024-07-24T16:32:17Z,0,0,JavaScript,True,True,,2024-07-28 13:59:04+00:00
CaptainIRS,CaptainIRS/crowdsourced-deadlines,2024-04-16T09:24:01Z,0,0,JavaScript,True,True,,2024-07-28 10:04:05+00:00
cryptomint0,cryptomint0/Rakesh,2024-07-28T07:58:43Z,0,0,Shell,True,True,,2024-07-28 08:02:57+00:00
vishalsingh2972,vishalsingh2972/assignments,2023-12-03T18:56:36Z,0,0,JavaScript,True,True,,2024-07-27 19:46:16+00:00
0xMukesh,0xMukesh/iblinked-contracts,2024-07-21T10:55:24Z,0,0,Rust,True,True,,2024-07-27 19:06:37+00:00
Dayitva,Dayitva/dps-react-challenge,2024-07-23T04:30:57Z,0,0,TypeScript,True,True,,2024-07-27 18:45:04+00:00
Dayitva,Dayitva/dps-expressjs-challenge,2024-07-23T04:31:01Z,0,0,TypeScript,True,True,,2024-07-27 15:46:27+00:00
shash42,shash42/reproducing-gpt2,2024-07-07T13:27:04Z,0,0,Jupyter Notebook,True,True,,2024-07-26 20:57:46+00:00
janakiramm,janakiramm/federated-llm,2024-07-26T10:07:32Z,1,1,Jupyter Notebook,True,True,,2024-07-26 11:44:50+00:00
ankits-svg,ankits-svg/ankits-svg.github.io,2023-04-03T09:09:31Z,0,0,HTML,True,True,,2024-07-26 06:57:55+00:00
CodeBustler,CodeBustler/blinkmart_eCommerce,2024-02-02T10:21:33Z,2,2,JavaScript,True,True,,2024-07-26 06:02:35+00:00
sonali123123,sonali123123/Git,2024-07-26T04:51:34Z,0,0,,True,True,,2024-07-26 04:58:33+00:00
devalab,devalab/ml4science_tut,2019-11-22T09:47:31Z,9,9,Jupyter Notebook,True,True,,2024-07-25 10:58:16+00:00
Rishav-hub,Rishav-hub/deep-learning-pytorch-huggingface,2024-07-09T17:12:06Z,0,0,,True,True,mit,2024-07-25 09:04:03+00:00
Rahmath-001,Rahmath-001/mohd-port,2024-03-12T08:55:59Z,0,0,JavaScript,True,True,,2024-07-25 08:27:28+00:00
0xKayala,0xKayala/0xKayala.github.io,2021-06-28T16:28:16Z,0,0,HTML,True,True,gpl-3.0,2024-07-25 07:42:43+00:00
0xKayala,0xKayala/A-to-Z-Vulnerabilities,2022-10-19T18:27:13Z,16,16,,True,True,gpl-3.0,2024-07-25 06:28:03+00:00
srinibasbiswal,srinibasbiswal/srinibasbiswal,2020-09-25T15:34:32Z,3,3,,True,True,,2024-07-24 17:49:48+00:00
The-Coder-Kishor,The-Coder-Kishor/enquesta24-finals,2024-07-24T16:08:57Z,0,0,JavaScript,True,True,cc0-1.0,2024-07-24 16:20:04+00:00
The-Coder-Kishor,The-Coder-Kishor/simple-poll-app,2024-07-24T15:43:51Z,0,0,HTML,True,True,mit,2024-07-24 15:49:18+00:00
0xMukesh,0xMukesh/0xMukesh,2021-09-25T14:07:02Z,6,6,,False,False,,2024-07-24 10:24:50+00:00
Rahmath-001,Rahmath-001/Python-B-M,2024-07-24T08:33:12Z,0,0,,True,True,,2024-07-24 08:33:12+00:00
gokulyc,gokulyc/ddc-material,2024-07-05T14:36:39Z,0,0,,True,True,,2024-07-23 15:46:52+00:00
kirankaranth1,kirankaranth1/csv_sales_bot,2024-05-12T08:56:41Z,1,1,Python,True,True,,2024-07-23 10:24:42+00:00
kumarawsbit,kumarawsbit/7amdeleteafteruse,2024-07-23T02:07:15Z,0,0,,True,True,,2024-07-23 02:14:39+00:00
shash42,shash42/menuapp,2024-07-22T19:25:13Z,0,0,JavaScript,True,True,,2024-07-22 19:35:10+00:00
shravankoninti,shravankoninti/ICPR_2024_Multilingual_Claim_Span_Identification,2024-07-22T18:23:01Z,0,0,,True,True,,2024-07-22 18:23:01+00:00
Abdul535,Abdul535/git_learn,2024-07-19T02:56:12Z,0,0,HTML,True,True,,2024-07-22 17:19:19+00:00
afarhan,afarhan/bitx23,2023-05-15T15:30:52Z,10,10,C++,True,True,agpl-3.0,2024-07-22 12:10:31+00:00
Sharathchandra345,Sharathchandra345/mongo-migration,2024-07-22T06:54:14Z,0,0,JavaScript,True,True,,2024-07-22 06:54:17+00:00
algorithmica-repository,algorithmica-repository/datascience,2015-02-18T09:46:53Z,104,104,Python,True,True,,2024-07-22 06:28:59+00:00
Hanzalashaik,Hanzalashaik/Automatic-LinkedIn-Post,2024-07-15T11:08:22Z,0,0,JavaScript,True,True,,2024-07-22 05:54:01+00:00
ShubhamVerma1811,ShubhamVerma1811/advent-of-code,2023-12-01T11:35:04Z,0,0,TypeScript,True,True,,2024-07-22 04:26:16+00:00
suneelbvs,suneelbvs/MolEncoders,2024-07-22T03:26:21Z,0,0,Python,True,True,apache-2.0,2024-07-22 03:30:02+00:00
bytesByHarsh,bytesByHarsh/multiCopyPaste,2021-08-18T12:21:48Z,3,3,C++,True,True,gpl-3.0,2024-07-21 18:42:30+00:00
elevenpassin,elevenpassin/algorithms-course-p1,2021-06-14T05:31:08Z,0,0,Java,True,True,,2024-07-21 15:14:30+00:00
Shra1V32,Shra1V32/devhome,2023-09-14T05:01:12Z,0,0,C#,True,True,mit,2024-07-20 05:36:25+00:00
dharavathramdas101,dharavathramdas101/End-to-End,2024-07-19T16:20:22Z,0,0,,True,True,mit,2024-07-19 16:20:23+00:00
kshyam,kshyam/chatwoot,2024-07-18T16:47:45Z,0,0,,True,True,other,2024-07-18 16:40:20+00:00
Faizan2228,Faizan2228/onboarding-frontend-service,2024-07-16T10:44:58Z,0,0,,True,False,apache-2.0,2024-07-18 10:30:21+00:00
adhilcodes,adhilcodes/adhilcodes,2021-04-26T09:28:35Z,0,0,JavaScript,True,True,,2024-07-18 09:33:58+00:00
sudhir-voleti,sudhir-voleti/general,2016-02-11T10:46:11Z,0,0,HTML,True,True,,2024-07-18 06:50:15+00:00
iamshubhamg,iamshubhamg/Date-Message,2023-12-06T14:32:45Z,0,0,CSS,True,True,,2024-07-18 03:25:52+00:00
gokulyc,gokulyc/gokulyc,2020-08-23T03:28:20Z,1,1,,True,True,,2024-07-17 13:37:46+00:00
jaiakash,jaiakash/codecrafters-dns-server-python,2024-07-17T07:37:05Z,0,0,Shell,True,True,,2024-07-17 07:39:45+00:00
Rishav-hub,Rishav-hub/blog,2024-07-16T18:38:32Z,0,0,,True,True,,2024-07-16 18:40:04+00:00
gokulyc,gokulyc/gokulyc.github.io,2019-08-07T14:25:55Z,1,1,Astro,True,True,,2024-07-16 18:10:31+00:00
anoopkunchukuttan,anoopkunchukuttan/lm-evaluation-harness,2024-01-05T18:15:30Z,0,0,Python,True,True,mit,2024-07-16 10:44:31+00:00
0xVikasRushi,0xVikasRushi/anon-aadhar-hackerhouse-demo,2024-07-15T19:22:18Z,0,0,TypeScript,True,True,,2024-07-15 19:25:20+00:00
naveenjujaray,naveenjujaray/TCSStockDataAnalysis,2024-05-16T14:41:18Z,0,0,,True,True,,2024-07-15 07:46:48+00:00
vkosuri,vkosuri/bitops,2024-07-13T13:47:29Z,0,0,C,False,True,mit,2024-07-15 04:34:28+00:00
sirilalithaadapa,sirilalithaadapa/Interview-Experiences,2022-03-03T12:10:50Z,5,5,,True,True,mit,2024-07-14 13:01:45+00:00
Rahmath-001,Rahmath-001/Node-Backend-classes,2024-07-14T06:51:31Z,0,0,JavaScript,True,True,,2024-07-14 06:55:52+00:00
